Feb 6, 1930 1:21 PM Mars enters Aquarius
Mar 17, 1930 12:55 AM Mars enters Pisces
Apr 24, 1930 12:27 PM Mars enters Aries
June 2, 1930 10:15 PM Mars enters Taurus
July 14, 1930 7:54 AM Mars enters Gemini
Aug 28, 1930 6:27 AM Mars enters Cancer
Oct 20, 1930 9:43 AM Mars enters Leo
Feb 16, 1931 9:27 AM Mars Rx enters Cancer
Mar 29, 1931 10:48 PM Mars enters Leo
June 10, 1931 9:58 AM Mars enters Virgo
Aug 1, 1931 11:38 AM Mars enters Libra
Sep 17, 1931 3:43 AM Mars enters Scorpio
Oct 30, 1931 7:46 AM Mars enters Sagittarius
Dec 9, 1931 10:11 PM Mars enters Capricorn
Jan 17, 1932 7:35 PM Mars enters Aquarius
Feb 24, 1932 9:36 PM Mars enters Pisces
Apr 3, 1932 2:02 AM Mars enters Aries
May 12, 1932 5:53 AM Mars enters Taurus
June 22, 1932 4:19 AM Mars enters Gemini
Aug 4, 1932 2:52 PM Mars enters Cancer
Sep 20, 1932 2:43 PM Mars enters Leo
Nov 13, 1932 4:25 PM Mars enters Virgo
July 6, 1933 5:03 PM Mars enters Libra
Aug 26, 1933 1:34 AM Mars enters Scorpio
Oct 9, 1933 6:35 AM Mars enters Sagittarius
Nov 19, 1933 2:18 AM Mars enters Capricorn
Dec 27, 1933 10:43 PM Mars enters Aquarius
Feb 3, 1934 11:13 PM Mars enters Pisces
Mar 14, 1934 4:09 AM Mars enters Aries
Apr 22, 1934 10:40 AM Mars enters Taurus
June 2, 1934 11:21 AM Mars enters Gemini
July 15, 1934 4:33 PM Mars enters Cancer
Aug 30, 1934 8:43 AM Mars enters Leo
Oct 17, 1934 11:59 PM Mars enters Virgo
Dec 11, 1934 4:32 AM Mars enters Libra
July 29, 1935 12:32 PM Mars enters Scorpio
Sep 16, 1935 7:59 AM Mars enters Sagittarius
Oct 28, 1935 1:22 PM Mars enters Capricorn
Dec 6, 1935 11:34 PM Mars enters Aquarius
Jan 14, 1936 8:59 AM Mars enters Pisces
Feb 21, 1936 11:09 PM Mars enters Aries
Apr 1, 1936 4:30 PM Mars enters Taurus
May 13, 1936 4:17 AM Mars enters Gemini
June 25, 1936 4:53 PM Mars enters Cancer
Aug 10, 1936 4:43 AM Mars enters Leo
Sep 26, 1936 9:51 AM Mars enters Virgo
Nov 14, 1936 9:52 AM Mars enters Libra
