start month,start day,start year,start time,ampm,label
2,6,1930,1,21,PM,Aquarius
3,17,1930,12,55,AM,Pisces
4,24,1930,12,27,PM,Aries
6,2,1930,10,15,PM,Taurus
7,14,1930,7,54,AM,Gemini
8,28,1930,6,27,AM,Cancer
10,20,1930,9,43,AM,Leo
2,16,1931,9,27,AM,Cancer
3,29,1931,10,48,PM,Leo
6,10,1931,9,58,AM,Virgo
8,1,1931,11,38,AM,Libra
9,17,1931,3,43,AM,Scorpio
10,30,1931,7,46,AM,Sagittarius
12,9,1931,10,11,PM,Capricorn
1,17,1932,7,35,PM,Aquarius
2,24,1932,9,36,PM,Pisces
4,3,1932,2,02,AM,Aries
5,12,1932,5,53,AM,Taurus
6,22,1932,4,19,AM,Gemini
8,4,1932,2,52,PM,Cancer
9,20,1932,2,43,PM,Leo
11,13,1932,4,25,PM,Virgo
7,6,1933,5,03,PM,Libra
8,26,1933,1,34,AM,Scorpio
10,9,1933,6,35,AM,Sagittarius
11,19,1933,2,18,AM,Capricorn
12,27,1933,10,43,PM,Aquarius
2,3,1934,11,13,PM,Pisces
3,14,1934,4,09,AM,Aries
4,22,1934,10,40,AM,Taurus
6,2,1934,11,21,AM,Gemini
7,15,1934,4,33,PM,Cancer
8,30,1934,8,43,AM,Leo
10,17,1934,11,59,PM,Virgo
12,11,1934,4,32,AM,Libra
7,29,1935,12,32,PM,Scorpio
9,16,1935,7,59,AM,Sagittarius
10,28,1935,1,22,PM,Capricorn
12,6,1935,11,34,PM,Aquarius
1,14,1936,8,59,AM,Pisces
2,21,1936,11,09,PM,Aries
4,1,1936,4,30,PM,Taurus
5,13,1936,4,17,AM,Gemini
6,25,1936,4,53,PM,Cancer
8,10,1936,4,43,AM,Leo
9,26,1936,9,51,AM,Virgo
11,14,1936,9,52,AM,Libra
1,5,1937,3,39,PM,Scorpio
3,12,1937,10,16,PM,Sagittarius
5,14,1937,5,52,PM,Scorpio
8,8,1937,5,14,PM,Sagittarius
9,30,1937,4,08,AM,Capricorn
11,11,1937,1,31,PM,Aquarius
12,21,1937,12,46,PM,Pisces
1,30,1938,7,44,AM,Aries
3,12,1938,2,48,AM,Taurus
4,23,1938,1,39,PM,Gemini
6,6,1938,8,28,PM,Cancer
7,22,1938,5,26,PM,Leo
9,7,1938,3,22,PM,Virgo
10,25,1938,1,20,AM,Libra
12,11,1938,6,25,PM,Scorpio
1,29,1939,4,49,AM,Sagittarius
3,21,1939,2,25,AM,Capricorn
5,24,1939,7,19,PM,Aquarius
7,21,1939,2,31,PM,Capricorn
9,23,1939,8,13,PM,Aquarius
11,19,1939,10,56,AM,Pisces
1,3,1940,7,05,PM,Aries
