start month,start day,start year,start time,ampm,label
1,23,1930,7,22,PM,Aquarius
2,16,1930,5,11,PM,Pisces
3,12,1930,5,34,PM,Aries
4,5,1930,9,57,PM,Taurus
4,30,1930,8,37,AM,Gemini
5,25,1930,12,36,AM,Cancer
6,19,1930,12,39,AM,Leo
7,14,1930,12,34,PM,Virgo
8,9,1930,8,54,PM,Libra
9,7,1930,12,05,AM,Scorpio
10,11,1930,9,45,PM,Sagittarius
11,22,1930,2,44,AM,Scorpio
1,3,1931,3,03,PM,Sagittarius
2,6,1931,7,25,AM,Capricorn
3,5,1931,4,46,PM,Aquarius
3,31,1931,2,04,PM,Pisces
4,25,1931,9,10,PM,Aries
5,20,1931,10,38,PM,Taurus
6,14,1931,7,04,PM,Gemini
7,9,1931,11,35,AM,Cancer
8,2,1931,11,29,PM,Leo
8,27,1931,6,42,AM,Virgo
9,20,1931,10,15,AM,Libra
10,14,1931,10,45,AM,Scorpio
11,7,1931,11,32,AM,Sagittarius
12,1,1931,12,29,PM,Capricorn
12,25,1931,2,44,PM,Aquarius
1,18,1932,8,52,PM,Pisces
2,12,1932,11,58,AM,Aries
3,8,1932,9,07,PM,Taurus
4,4,1932,7,19,PM,Gemini
5,6,1932,5,04,AM,Cancer
7,13,1932,6,33,AM,Gemini
7,28,1932,8,36,AM,Cancer
9,8,1932,3,45,PM,Leo
10,7,1932,12,46,AM,Virgo
11,1,1932,11,01,PM,Libra
11,26,1932,7,06,PM,Scorpio
12,21,1932,2,43,AM,Sagittarius
1,14,1933,4,56,AM,Capricorn
2,7,1933,5,30,AM,Aquarius
3,3,1933,6,24,AM,Pisces
3,27,1933,8,58,AM,Aries
4,20,1933,2,00,PM,Taurus
5,14,1933,10,47,PM,Gemini
6,8,1933,9,01,AM,Cancer
7,2,1933,9,29,PM,Leo
7,27,193312,45,PM,Venus,
8,21,1933,8,23,AM,Libra
9,15,1933,10,54,AM,Scorpio
10,10,1933,11,32,PM,Sagittarius
11,6,1933,11,02,AM,Capricorn
12,5,1933,1,00,PM,Aquarius
4,6,1934,4,23,AM,Pisces
5,6,1934,4,54,AM,Aries
6,2,1934,6,11,AM,Taurus
6,28,19345,38,AM,Venus,
7,23,1934,2,22,PM,Cancer
8,17,1934,11,45,AM,Leo
9,10,1934,11,32,PM,Virgo
10,5,1934,2,56,AM,Libra
10,29,1934,2,37,AM,Scorpio
11,21,1934,11,59,PM,Sagittarius
12,15,1934,8,39,PM,Capricorn
1,8,1935,5,44,PM,Aquarius
2,1,1935,4,36,PM,Pisces
2,25,1935,7,30,PM,Aries
3,22,1935,5,29,AM,Taurus
4,16,1935,2,37,AM,Gemini
5,11,1935,6,01,PM,Cancer
6,7,1935,3,11,PM,Leo
7,7,1935,4,33,PM,Virgo
11,9,1935,11,34,AM,Libra
12,8,1935,9,36,AM,Scorpio
1,3,1936,9,16,AM,Sagittarius
1,28,1936,9,00,AM,Capricorn
2,21,1936,11,14,PM,Aquarius
3,17,1936,9,53,AM,Pisces
4,10,1936,7,41,PM,Aries
5,5,1936,6,53,AM,Taurus
5,29,1936,5,39,PM,Gemini
6,23,1936,4,16,AM,Cancer
7,17,1936,1,51,PM,Leo
8,10,1936,10,11,PM,Virgo
9,4,1936,6,02,AM,Libra
9,28,1936,2,36,PM,Scorpio
10,23,1936,1,00,AM,Sagittarius
11,16,1936,1,36,PM,Capricorn
12,11,1936,9,51,AM,Aquarius
1,5,1937,10,18,PM,Pisces
2,2,1937,5,39,AM,Aries
3,9,1937,8,19,AM,Taurus
4,13,1937,11,19,PM,Aries
6,4,1937,2,41,AM,Taurus
7,7,19375,13,PM,Venus,
8,4,1937,4,14,PM,Cancer
8,30,1937,8,08,PM,Leo
9,25,1937,12,03,AM,Virgo
10,19,1937,11,33,AM,Libra
11,12,1937,2,43,PM,Scorpio
12,6,1937,1,06,PM,Sagittarius
12,30,1937,9,42,AM,Capricorn
1,23,1938,6,16,AM,Aquarius
2,16,1938,4,00,AM,Pisces
3,12,1938,4,20,AM,Aries
4,5,1938,8,46,AM,Taurus
4,29,1938,7,35,PM,Gemini
5,24,1938,11,56,AM,Cancer
6,18,193812,37,PM,Venus,
7,14,1938,1,44,AM,Virgo
8,9,1938,12,26,PM,Libra
9,6,1938,9,36,PM,Scorpio
10,13,1938,1,49,PM,Sagittarius
11,15,1938,11,07,AM,Scorpio
1,4,1939,4,48,PM,Sagittarius
2,6,1939,4,20,AM,Capricorn
3,5,1939,8,29,AM,Aquarius
3,31,1939,3,34,AM,Pisces
4,25,1939,9,28,AM,Aries
5,20,1939,10,13,AM,Taurus
6,14,1939,6,11,AM,Gemini
7,8,193910,25,PM,Venus,
8,2,1939,10,11,AM,Leo
8,26,1939,5,24,PM,Virgo
9,19,1939,9,02,PM,Libra
10,13,1939,9,41,PM,Scorpio
11,6,1939,10,41,PM,Sagittarius
11,30,1939,11,52,PM,Capricorn
12,25,1939,2,25,AM,Aquarius
1,18,1940,9,00,AM,Pisces
2,12,1940,12,51,AM,Aries
3,8,1940,11,25,AM,Taurus
4,4,1940,1,10,PM,Gemini
5,6,1940,1,47,PM,Cancer
7,5,1940,11,17,AM,Gemini
7,31,1940,9,20,PM,Cancer
9,8,1940,11,59,AM,Leo
10,6,1940,4,10,PM,Virgo
11,1,1940,12,24,PM,Libra
11,26,1940,7,32,AM,Scorpio
12,20,1940,2,36,PM,Sagittarius
1,13,1941,4,29,PM,Capricorn
2,6,1941,4,49,PM,Aquarius
3,2,1941,5,33,PM,Pisces
3,26,1941,7,58,PM,Aries
4,20,1941,12,53,AM,Taurus
5,14,1941,8,36,AM,Gemini
6,7,1941,6,53,PM,Cancer
7,2,1941,7,33,AM,Leo
7,26,1941,11,12,PM,Virgo
8,20,1941,7,29,PM,Libra
9,14,1941,11,01,PM,Scorpio
10,10,1941,2,21,PM,Sagittarius
11,6,1941,5,17,AM,Capricorn
12,5,1941,6,04,PM,Aquarius
4,6,1942,8,14,AM,Pisces
5,5,1942,9,26,PM,Aries
6,1,1942,7,26,PM,Taurus
6,27,1942,5,18,PM,Gemini
7,23,1942,1,10,AM,Cancer
8,16,1942,10,04,PM,Leo
9,10,1942,9,38,AM,Virgo
10,4,1942,1,58,PM,Libra
10,28,1942,1,40,PM,Scorpio
11,21,1942,11,07,AM,Sagittarius
12,15,1942,7,53,AM,Capricorn
1,8,1943,5,03,AM,Aquarius
2,1,1943,4,02,AM,Pisces
2,25,1943,7,04,AM,Aries
3,21,1943,5,24,PM,Taurus
4,15,1943,3,12,PM,Gemini
5,11,1943,6,56,AM,Cancer
6,7,1943,7,09,AM,Leo
7,7,1943,6,56,PM,Virgo
11,9,1943,1,25,PM,Libra
12,8,1943,2,45,AM,Scorpio
1,2,1944,11,43,PM,Sagittarius
1,27,1944,10,11,PM,Capricorn
2,21,1944,11,40,AM,Aquarius
3,16,1944,9,46,PM,Pisces
4,10,1944,7,09,AM,Aries
5,4,1944,5,04,PM,Taurus
5,29,1944,3,39,AM,Gemini
6,22,1944,2,12,PM,Cancer
7,16,1944,11,47,PM,Leo
8,10,1944,8,13,AM,Virgo
9,3,1944,4,16,PM,Libra
9,28,1944,1,12,AM,Scorpio
10,22,1944,12,07,PM,Sagittarius
11,16,1944,2,26,AM,Capricorn
12,10,1944,11,47,PM,Aquarius
1,5,1945,2,18,PM,Pisces
2,2,1945,3,07,AM,Aries
3,11,1945,6,17,AM,Taurus
4,7,1945,2,15,PM,Aries
6,4,1945,5,58,PM,Taurus
7,7,1945,11,20,AM,Gemini
8,4,1945,5,59,AM,Cancer
8,30,1945,8,05,AM,Leo
9,24,1945,11,06,AM,Virgo
10,18,1945,11,09,PM,Libra
11,12,1945,2,05,AM,Scorpio
12,6,1945,12,22,AM,Sagittarius
12,29,1945,8,56,PM,Capricorn
1,22,1946,5,28,PM,Aquarius
2,15,1946,3,11,PM,Pisces
3,11,1946,3,32,PM,Aries
4,4,1946,8,01,PM,Taurus
4,29,1946,5,59,AM,Gemini
5,23,1946,10,39,PM,Cancer
6,18,1946,12,00,AM,Leo
7,13,1946,2,22,PM,Virgo
8,9,1946,3,34,AM,Libra
9,6,1946,7,16,PM,Scorpio
10,16,1946,5,45,AM,Sagittarius
11,8,1946,3,56,AM,Scorpio
1,5,1947,11,45,AM,Sagittarius
2,6,1947,12,41,AM,Capricorn
3,5,1947,12,09,AM,Aquarius
3,30,1947,5,14,PM,Pisces
4,24,1947,10,03,PM,Aries
5,19,1947,9,06,PM,Taurus
6,13,1947,4,35,PM,Gemini
7,8,1947,8,30,AM,Cancer
8,1,1947,8,06,PM,Leo
8,26,1947,3,17,AM,Virgo
9,19,1947,7,01,AM,Libra
10,13,1947,8,49,AM,Scorpio
11,6,1947,9,59,AM,Sagittarius
11,30,1947,11,23,AM,Capricorn
12,24,1947,2,13,PM,Aquarius
1,17,1948,9,14,PM,Pisces
2,11,1948,1,51,PM,Aries
3,8,1948,1,59,AM,Taurus
4,4,1948,7,40,AM,Gemini
5,7,1948,3,27,AM,Cancer
6,29,1948,2,58,AM,Gemini
8,2,1948,9,15,PM,Cancer
9,8,1948,8,40,AM,Leo
10,6,1948,7,25,AM,Virgo
11,1,1948,1,42,AM,Libra
11,25,1948,7,55,PM,Scorpio
12,20,1948,2,28,AM,Sagittarius
1,13,1949,4,01,AM,Capricorn
2,6,1949,4,05,AM,Aquarius
3,2,1949,4,38,AM,Pisces
3,26,1949,6,54,AM,Aries
4,19,1949,11,44,AM,Taurus
5,13,1949,7,25,PM,Gemini
6,7,1949,5,47,AM,Cancer
7,1,1949,6,40,PM,Leo
7,26,1949,10,43,AM,Virgo
8,20,1949,7,39,AM,Libra
9,14,1949,12,12,PM,Scorpio
10,10,1949,5,18,AM,Sagittarius
11,5,1949,11,53,PM,Capricorn
12,6,1949,1,06,AM,Aquarius
4,6,1950,10,13,AM,Pisces
5,5,1950,2,19,PM,Aries
6,1,1950,9,19,AM,Taurus
6,27,1950,5,45,AM,Gemini
