Jan 23, 1930 7:22 PM Venus enters Aquarius
Feb 16, 1930 5:11 PM Venus enters Pisces
Mar 12, 1930 5:34 PM Venus enters Aries
Apr  5, 1930 9:57 PM Venus enters Taurus
Apr 30, 1930 8:37 AM Venus enters Gemini
May 25, 1930 12:36 AM Venus enters Cancer
June 19, 1930 12:39 AM Venus enters Leo
July 14, 1930 12:34 PM Venus enters Virgo
Aug  9, 1930 8:54 PM Venus enters Libra
Sep  7, 1930 12:05 AM Venus enters Scorpio
Oct 11, 1930 9:45 PM Venus enters Sagittarius
Nov 22, 1930 2:44 AM Venus Rx enters Scorpio
Jan  3, 1931 3:03 PM Venus enters Sagittarius
Feb  6, 1931 7:25 AM Venus enters Capricorn
Mar  5, 1931 4:46 PM Venus enters Aquarius
Mar 31, 1931 2:04 PM Venus enters Pisces
Apr 25, 1931  9:10 PM Venus enters Aries
May 20, 1931 10:38 PM Venus enters Taurus
June 14, 1931  7:04 PM Venus enters Gemini
July  9, 1931 11:35 AM Venus enters Cancer
Aug  2, 1931 11:29 PM Venus enters Leo
Aug 27, 1931  6:42 AM Venus enters Virgo
Sep 20, 1931 10:15 AM Venus enters Libra
Oct 14, 1931 10:45 AM Venus enters Scorpio
Nov  7, 1931 11:32 AM Venus enters Sagittarius
Dec  1, 1931 12:29 PM Venus enters Capricorn
Dec 25, 1931  2:44 PM Venus enters Aquarius
Jan 18, 1932  8:52 PM Venus enters Pisces
Feb 12, 1932 11:58 AM Venus enters Aries
Mar  8, 1932  9:07 PM Venus enters Taurus
Apr  4, 1932  7:19 PM Venus enters Gemini
May  6, 1932 5:04 AM Venus enters Cancer
July 13, 1932 6:33 AM Venus Rx enters Gemini
July 28, 1932 8:36 AM Venus enters Cancer
Sep  8, 1932  3:45 PM Venus enters Leo
Oct  7, 1932 12:46 AM Venus enters Virgo
Nov  1, 1932 11:01 PM Venus enters Libra
Nov 26, 1932  7:06 PM Venus enters Scorpio
Dec 21, 1932  2:43 AM Venus enters Sagittarius
Jan 14, 1933  4:56 AM Venus enters Capricorn
Feb  7, 1933 5:30 AM Venus enters Aquarius
Mar  3, 1933  6:24 AM Venus enters Pisces
Mar 27, 1933  8:58 AM Venus enters Aries
Apr 20, 1933  2:00 PM Venus enters Taurus
May 14, 1933 10:47 PM Venus enters Gemini
June  8, 1933 9:01 AM Venus enters Cancer
July  2, 1933 9:29 PM Venus enters Leo
July 27, 193312:45 PM Venus enters Virgo
Aug 21, 1933  8:23 AM Venus enters Libra
Sep 15, 1933 10:54 AM Venus enters Scorpio
Oct 10, 1933 11:32 PM Venus enters Sagittarius
Nov  6, 1933 11:02 AM Venus enters Capricorn
Dec  5, 1933  1:00 PM Venus enters Aquarius
Apr  6, 1934  4:23 AM Venus enters Pisces
May  6, 1934  4:54 AM Venus enters Aries
June  2, 1934 6:11 AM Venus enters Taurus
June 28, 19345:38 AM Venus enters Gemini
July 23, 1934 2:22 PM Venus enters Cancer
Aug 17, 1934 11:45 AM Venus enters Leo
Sep 10, 1934 11:32 PM Venus enters Virgo
Oct  5, 1934  2:56 AM Venus enters Libra
Oct 29, 1934  2:37 AM Venus enters Scorpio
Nov 21, 1934 11:59 PM Venus enters Sagittarius
Dec 15, 1934  8:39 PM Venus enters Capricorn
Jan  8, 1935 5:44 PM Venus enters Aquarius
Feb  1, 1935  4:36 PM Venus enters Pisces
Feb 25, 1935  7:30 PM Venus enters Aries
Mar 22, 1935 5:29 AM Venus enters Taurus
Apr 16, 1935  2:37 AM Venus enters Gemini
May 11, 1935  6:01 PM Venus enters Cancer
June  7, 1935 3:11 PM Venus enters Leo
July  7, 1935 4:33 PM Venus enters Virgo
Nov  9, 1935 11:34 AM Venus enters Libra
Dec  8, 1935  9:36 AM Venus enters Scorpio
Jan  3, 1936  9:16 AM Venus enters Sagittarius
Jan 28, 1936  9:00 AM Venus enters Capricorn
Feb 21, 1936 11:14 PM Venus enters Aquarius
Mar 17, 1936  9:53 AM Venus enters Pisces
Apr 10, 1936  7:41 PM Venus enters Aries
